NO_OF_PEDESTRIANS,TIME (hh),DAY,RED_LIGHT_CAMERA,COLLISION_ID,LOCATION,LONGITUDE,LATITUDE,Year,MONTH,Date,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE
0,Evening,0,0,13-8083,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54017544,45.46416451,2013,Aug,15,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-8218,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54017544,45.46416451,2013,Aug,20,01 - Clear,07 - Dark,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Evening,0,0,13-8454,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54013007,45.46412769,2013,Aug,27,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Afternoon,0,0,13-8527,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54015245,45.46416432,2013,Aug,30,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,0,0,13-8723,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54008321,45.46417832,2013,Sep,5,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Morning,0,0,13-8762,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54018719,45.46415004,2013,Sep,6,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,02 - Non-fatal injury,02 - Angle
0,Afternoon,1,0,13-8792,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54008222,45.46423661,2013,Sep,7,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Morning,0,0,13-8916,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.5401412,45.46414965,2013,Sep,11,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
0,Afternoon,0,0,13-9020,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016456,45.46412798,2013,Sep,13,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,04 - Sideswipe
0,Evening,0,0,13-9364,ST. JOSEPH BLVD @ JEANNE D'ARC BLVD,-75.54016431,45.46414256,2013,Sep,23,01 - Clear,01 - Daylight,01 - Dry,03 - Yield sign,03 - P.D. only,02 - Angle
